Rank,Term,Freq,C
791, 33, 115, 0.11805
792, unlike, 115, 0.1182
793, war ii, 115, 0.11835
794, quite, 115, 0.1185
795, poverty, 115, 0.11865
796, 1984, 115, 0.1188
797, mark, 115, 0.11895
798, election, 114, 0.11806
799, 80, 114, 0.11821
800, 1980, 114, 0.11836
801, male, 114, 0.1185
802, problem, 114, 0.11865
803, allowing, 114, 0.1188
804, household, 114, 0.11895
805, say, 114, 0.1191
806, 1980s, 114, 0.11924
807, goes, 114, 0.11939
808, players, 113, 0.11849
809, follow, 113, 0.11864
810, dr, 113, 0.11878
811, reason, 113, 0.11893
812, musical, 113, 0.11908
813, length, 113, 0.11922
814, material, 113, 0.11937
815, 500, 113, 0.11952
816, failed, 113, 0.11966
817, india, 112, 0.11875
818, supported, 112, 0.1189
819, continues, 112, 0.11904
820, academy, 112, 0.11919
821, mile, 112, 0.11933
822, minutes, 112, 0.11948
823, financial, 112, 0.11962
824, command, 112, 0.11977
825, minister, 112, 0.11991
826, access, 112, 0.12006
827, key, 112, 0.1202
828, meeting, 112, 0.12035
829, needs, 112, 0.1205
830, 200, 112, 0.12064
831, reach, 112, 0.12079
832, cost, 112, 0.12093
833, debut, 112, 0.12108
834, facilities, 111, 0.12014
835, feet, 111, 0.12028
836, knowledge, 111, 0.12043
837, child, 111, 0.12057
838, managed, 111, 0.12072
839, plan, 111, 0.12086
840, heavy, 110, 0.11991
841, constructed, 110, 0.12006
842, competition, 110, 0.1202
843, serving, 110, 0.12034
844, foreign, 110, 0.12049
845, african, 109, 0.11953
846, years later, 109, 0.11967
847, difficult, 109, 0.11981
848, relatively, 109, 0.11996
849, revealed, 109, 0.1201
850, complex, 109, 0.12024
851, sports, 109, 0.12038
852, carried, 108, 0.11942
853, victory, 108, 0.11956
854, dedicated, 108, 0.1197
855, trade, 108, 0.11984
856, specific, 108, 0.11998
857, lines, 108, 0.12012
858, charge, 108, 0.12026
859, presented, 108, 0.1204
860, earth, 108, 0.12054
861, reference, 108, 0.12068
862, unknown, 108, 0.12082
863, mission, 107, 0.11984
864, influence, 107, 0.11998
865, grew, 107, 0.12012
866, committee, 107, 0.12025
867, presence, 107, 0.12039
868, adopted, 107, 0.12053
869, cases, 107, 0.12067
870, typically, 107, 0.12081
871, attended, 107, 0.12095
872, evidence, 107, 0.12109
873, studied, 107, 0.12123
874, creation, 106, 0.12023
875, fully, 106, 0.12037
876, writer, 106, 0.12051
877, hold, 106, 0.12064
878, operation, 106, 0.12078
879, 1986, 106, 0.12092
880, decision, 106, 0.12106
881, says, 106, 0.12119
882, believe, 106, 0.12133
883, growing, 106, 0.12147
884, teams, 106, 0.12161
885, distinct, 105, 0.1206
886, lack, 105, 0.12073
887, anti, 105, 0.12087
888, simple, 105, 0.121
889, programs, 105, 0.12114
890, 1970s, 105, 0.12128
891, sister, 105, 0.12141
892, roman, 105, 0.12155
893, upper, 105, 0.12169
894, providing, 105, 0.12182
895, purpose, 105, 0.12196
896, numbers, 105, 0.12209
897, charles, 105, 0.12223
898, master, 105, 0.12237
899, effort, 105, 0.1225
900, 38, 105, 0.12264
901, legal, 104, 0.12161
902, era, 104, 0.12174
903, heavily, 104, 0.12188
904, response, 104, 0.12201
905, hands, 104, 0.12215
906, artist, 104, 0.12228
907, 1987, 104, 0.12242
908, shot, 104, 0.12255
909, saying, 104, 0.12269
910, companies, 103, 0.12164
911, washington, 103, 0.12177
912, surrounding, 103, 0.12191
913, prominent, 103, 0.12204
914, resulting, 103, 0.12217
915, asked, 103, 0.12231
916, religious, 103, 0.12244
917, spring, 103, 0.12258
918, lake, 103, 0.12271
919, novel, 103, 0.12284
920, rule, 103, 0.12298
921, destroyed, 103, 0.12311
922, 1990s, 103, 0.12324
923, culture, 103, 0.12338
924, houses, 103, 0.12351
925, finished, 103, 0.12365
926, coast, 103, 0.12378
927, ship, 103, 0.12391
928, 36, 103, 0.12405
929, allows, 103, 0.12418
930, double, 103, 0.12431
931, administration, 102, 0.12324
932, focus, 102, 0.12337
933, offers, 102, 0.1235
934, deep, 102, 0.12364
935, projects, 102, 0.12377
936, entirely, 102, 0.1239
937, japan, 102, 0.12403
938, officer, 102, 0.12417
939, results, 101, 0.12308
940, regional, 101, 0.12321
941, sense, 101, 0.12334
942, museum, 101, 0.12347
943, want, 101, 0.1236
944, officially, 101, 0.12373
945, cultural, 101, 0.12387
946, economic, 101, 0.124
947, thomas, 101, 0.12413
948, stories, 101, 0.12426
949, dead, 101, 0.12439
950, reasons, 101, 0.12452
951, acting, 100, 0.12342
952, talk, 100, 0.12355
953, fell, 100, 0.12368
954, edition, 100, 0.12381
955, grand, 100, 0.12394
956, chosen, 100, 0.12407
957, extended, 100, 0.1242
958, operated, 100, 0.12433
959, deal, 100, 0.12446
960, foundation, 99, 0.12334
961, begins, 99, 0.12347
962, frequently, 99, 0.1236
963, match, 99, 0.12373
964, plays, 99, 0.12385
965, institute, 99, 0.12398
966, mentioned, 99, 0.12411
967, directed, 99, 0.12424
968, 70, 99, 0.12437
969, hospital, 99, 0.1245
970, share, 99, 0.12462
971, value, 99, 0.12475
972, couples, 99, 0.12488
973, types, 99, 0.12501
974, hour, 98, 0.12387
975, claims, 98, 0.124
976, arrived, 98, 0.12413
977, join, 98, 0.12426
978, surface, 98, 0.12438
979, efforts, 98, 0.12451
980, 1960s, 98, 0.12464
981, 1981, 98, 0.12477
982, prevent, 98, 0.12489
983, federal, 98, 0.12502
984, tried, 98, 0.12515
985, nation, 98, 0.12527
986, god, 98, 0.1254
987, rate, 98, 0.12553
988, households, 98, 0.12566
989, fighting, 97, 0.1245
990, minor, 97, 0.12462
991, effects, 97, 0.12475
992, receive, 97, 0.12488
993, situation, 97, 0.125
994, let, 97, 0.12513
995, develop, 97, 0.12525
996, literature, 97, 0.12538
997, drive, 97, 0.12551
998, mountain, 97, 0.12563
999, age 18, 97, 0.12576
1000, queen, 97, 0.12588
1001, test, 96, 0.12471
1002, property, 96, 0.12484
1003, christian, 96, 0.12496
1004, elements, 96, 0.12508
1005, accepted, 96, 0.12521
1006, 1978, 96, 0.12533
1007, route, 96, 0.12546
1008, hill, 96, 0.12558
1009, seat, 96, 0.12571
1010, combined, 96, 0.12583
1011, subsequent, 96, 0.12596
1012, median, 96, 0.12608
1013, travel, 96, 0.12621
1014, direction, 96, 0.12633
